Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,10,73797,3169,210562,63866.46,0.000%,.04618,0.01,0.02,230.0
TOTAL,10,73797,3169,210562,63866.46,0.000%,.04618,0.01,0.02,230.0
